"Raw Data File","tracer molecule","labelled positions","abundance","Parameter Value[injection]","Parameter Value[Replicate]","Factor Value[Incubation time]","Metabolite name","CHEBI identifier","atomic positions to the parent molecule/metabolite name","Empirical formula derivatized molecule/fragment","m/z monitored","signal intensity","isotopologue","isotologue abundance relative concentration"
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",136381,"Rib_13C1",4.775
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",91122,"Rib_13C2",7.273
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",18142,"Rib_13C3",0.973
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",16176,"Rib_13C4",1.392
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",1733,"Rib_13C5",0.033
"RibHyp3_03.CDF","Glucose","1,1,0,0,0,0","48","3","3","40","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",537,"",NA
"RibNat1_01.CDF","","","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",3137,"",NA
"RibNat1_01.CDF","","","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",714380,"Rib_13C0",100.016
"RibNat1_01.CDF","","","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",85346,"Rib_13C1",-0.021
"RibNat1_01.CDF","","","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",14865,"Rib_13C2",-0.01
"RibNat1_01.CDF","","","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",1523,"Rib_13C3",0.008
"RibNat1_01.CDF","","","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",1267,"Rib_13C4",-0.009
"RibNat1_01.CDF","","","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",363,"Rib_13C5",0.015
"RibNat1_01.CDF","","","","1","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",395,"",NA
"RibNat1_02.CDF","","","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",3031,"",NA
"RibNat1_02.CDF","","","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",669201,"Rib_13C0",99.766
"RibNat1_02.CDF","","","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",81441,"Rib_13C1",0.197
"RibNat1_02.CDF","","","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",14566,"Rib_13C2",0.055
"RibNat1_02.CDF","","","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",1093,"Rib_13C3",-0.047
"RibNat1_02.CDF","","","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",1349,"Rib_13C4",0.018
"RibNat1_02.CDF","","","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",325,"Rib_13C5",0.011
"RibNat1_02.CDF","","","","2","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",198,"",NA
"RibNat1_03.CDF","","","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","255",3176,"",NA
"RibNat1_03.CDF","","","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","256",975103,"Rib_13C0",100.149
"RibNat1_03.CDF","","","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","257",115502,"Rib_13C1",-0.121
"RibNat1_03.CDF","","","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","258",19955,"Rib_13C2",-0.03
"RibNat1_03.CDF","","","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","259",2233,"Rib_13C3",0.026
"RibNat1_03.CDF","","","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","260",1767,"Rib_13C4",-0.006
"RibNat1_03.CDF","","","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","261",133,"Rib_13C5",-0.018
"RibNat1_03.CDF","","","","3","1","","D-Ribose","CHEBI:16988","C1-C5","C11H14O6N","262",237,"",0
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",2196,"",NA
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",2446098,"Glyc_13C0",65.379
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",399396,"Glyc_13C1",0.025
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","330",1422059,"Glyc_13C2",33.141
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","331",196738,"Glyc_13C3",0.168
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","332",59646,"Glyc_13C4",1.102
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","333",7591,"Glyc_13C5",0.034
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","334",7395,"Glyc_13C6",0.152
"GlycHyp1_01.CDF","Glucose","1,1,0,0,0,0","48","1","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","335",127,"",NA
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","327",1620,"",NA
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","328",1769847,"Glyc_13C0",65.337
"GlycHyp1_02.CDF","Glucose","1,1,0,0,0,0","48","2","1","40","Glycogen","CHEBI:28087","C1-C6","C14H18O8N","329",293369,"Glyc_13C1",0.179
